Company Name,Intern Search Url,Full-Time Search Url,Major
SpaceX,https://www.spacex.com/careers/?search=(JOBHERE)&type=Intern,https://www.spacex.com/careers/?search=(JOBHERE)&type=Full-Time,Aero
Tesla,https://www.tesla.com/careers/search/?country=US&query=(JOBHERE)&type=3,https://www.tesla.com/careers/search/?country=US&query=(JOBHERE)&type=1,Automotive
Rivian,https://rivian.com/careers?search=(JOBHERE),https://rivian.com/careers?search=(JOBHERE)&workType=Full-Time,Automotive
Canoo,,,
3M,,,
Patagonia,,,
DTE,https://careers.dteenergy.com/search/?createNewAlert=false&q=(JOBHERE)&optionsFacetsDD_location=&optionsFacetsDD_state=&optionsFacetsDD_department=&locationsearch=,https://careers.dteenergy.com/search/?createNewAlert=false&q=(JOBHERE)&optionsFacetsDD_location=&optionsFacetsDD_state=&optionsFacetsDD_department=&locationsearch=,Energy
Ford,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25385&siteid=5311&PageType=searchResults&SearchType=linkquery&LinkID=3974233#keyWordSearch=(JOBHERE),https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25385&siteid=5186&PageType=searchResults&SearchType=linkquery&LinkID=4002074#keyWordSearch=(JOBHERE),Automotive
General Mills,https://careers.generalmills.com/careers/jobs?keywords=(JOBHERE),https://careers.generalmills.com/careers/jobs?keywords=(JOBHERE),Consumer Goods
DOW,,,Chemical
Conagra,https://jobs.conagra.com/careers?pid=10088552&query=(JOBHERE)&domain=conagra.com&triggerGoButton=false,https://jobs.conagra.com/careers?pid=10088552&query=(JOBHERE)&domain=conagra.com&triggerGoButton=false,Consumer Goods
BASF,https://www.basf.com/global/en/careers/jobs.html#%7B%220%22%3A%5B%5B%22q%22%2C%5B%22(JOBHERE)%22%5D%5D%2C%5B%22jobs%3Ajobtype%22%2C%5B%22jobs%3Ajobtype%2Finternship%22%5D%5D%5D%7D,https://www.basf.com/global/en/careers/jobs.html#%7B%220%22%3A%5B%5B%22q%22%2C%5B%22(JOBHERE)%22%5D%5D%2C%5B%22jobs%3Ajobtype%22%2C%5B%22jobs%3Ajobtype%2Fstandard%22%5D%5D%5D%7D,Chemical
Procter & Gamble,"https://www.pgcareers.com/search-jobs?k=(JOBHERE)&ascf=[{%27key%27:%27custom_fields.Language%27,%27value%27:%27English%27},]","https://www.pgcareers.com/search-jobs?k=(JOBHERE)&ascf=[{%27key%27:%27custom_fields.Language%27,%27value%27:%27English%27},]",Consumer Goods
Delta,https://delta.avature.net/careers/SearchJobs/(JOBHERE)?2884=75201&2884_format=3665&listFilterMode=1,https://delta.avature.net/careers/SearchJobs/(JOBHERE),Aero
DoorDash,https://careers.doordash.com/?search=(JOBHERE)#open-positions,https://careers.doordash.com/?search=(JOBHERE)#open-positions,Tech
Twilio,,,
Snackpass,,,
Bloomberg,https://careers.bloomberg.com/job/search?el=Internships&qf=(JOBHERE),https://careers.bloomberg.com/job/search?el=Experienced+Hires&el=Students+and+Recent+Graduates&qf=(JOBHERE),Tech
Grubhub,https://careers-grubhub.icims.com/jobs/search?ss=1&searchKeyword=(JOBHERE),https://careers-grubhub.icims.com/jobs/search?ss=1&searchKeyword=(JOBHERE),Tech
Apple,https://jobs.apple.com/en-us/search?search=(JOBHERE),https://jobs.apple.com/en-us/search?search=(JOBHERE),
Google,https://careers.google.com/jobs/results/?distance=50&employment_type=INTERN&q=(JOBHERE),https://careers.google.com/jobs/results/?distance=50&employment_type=FULL_TIME&q=(JOBHERE),Tech
Capital One,https://www.capitalonecareers.com/search-jobs/(JOBHERE)/1732/1,https://www.capitalonecareers.com/search-jobs/(JOBHERE)/1732/1,Tech
Stripe,https://stripe.com/jobs/search?s=intern&q=(JOBHERE),https://stripe.com/jobs/search?s=fulltime&q=(JOBHERE),Tech
Square,https://careers.squareup.com/us/en/jobs?type%5B%5D=Intern&role%5B%5D=(JOBHERE),https://careers.squareup.com/us/en/jobs?type%5B%5D=Full-time&role%5B%5D=(JOBHERE),Tech
Atlassian,https://www.atlassian.com/company/careers/all-jobs?team=Interns&location=&search=(JOBHERE),https://www.atlassian.com/company/careers/all-jobs?team=&location=&search=(JOBHERE),Tech
Facebook,https://www.facebookcareers.com/jobs/?q=(JOBHERE)&roles[0]=intern,https://www.facebookcareers.com/jobs/?q=(JOBHERE)&roles[0]=full-time,Tech
Roblox,https://jobs.roblox.com/careers?pid=137448893814&query=(JOBHERE)&domain=roblox.com&triggerGoButton=true,https://jobs.roblox.com/careers?pid=137448893814&query=(JOBHERE)&domain=roblox.com&triggerGoButton=true,Tech
Akuna Capital,,,
Ocient,,,
Microsoft,https://careers.microsoft.com/us/en/search-results?keywords=(JOBHERE),https://careers.microsoft.com/us/en/search-results?keywords=(JOBHERE),Tech
